Year;Week;Index;Product;Sales_packs;Sales_UAH;Penetration;Pricer_per_pack;Brand;Aw_MMI;Internet_insertions;Internet_impressions;Internet_real users;TV_TRP;SOV, %;TRP_category
2018;1;20181;NIMID®, Kusum Pharm LLC (Ukraine, Kiev), gel f/ext.applic. 10 mg/g tube 30 g, #1;12180,38;374227,46;84,31;30,7237918685624;NIMID;;0;;;0;0;728,36
2018;1;20181;FLAMIDASE GEL, Organosyn Life Sciences (India), gel tube 40 g, by box, #1;9104,28;598177,21;75,68;65,7028573374281;FLAMIDASE;;0;;;0;0;728,36
2018;1;20181;NIMID®, Kusum Pharm LLC (Ukraine, Kiev), tabs 100 mg blister, #100;7139,25;943215,62;82;132,116905837448;NIMID;;0;;;0;0;728,36
2018;1;20181;DEEP RELIEF, Delta Medical LLC (Ukraine, Vishneve), gel tube 50 g;6263,29;725660,44;77,45;115,859307169235;DEEP RELIEF;;6;;;0;0;728,36
2018;1;20181;NIMID®, Kusum Pharm LLC (Ukraine, Kiev), gel f/ext.applic. 10 mg/g tube 100 g, #1;4886,29;401893,65;70,38;82,2492422676509;NIMID;;0;;;0;0;728,36
2018;1;20181;FLAMIDASE®, Organosyn Life Sciences (India), tabs coated w/film blister, #10;6835,59;393105,12;49,71;57,5085866764976;FLAMIDASE;;0;;;0;0;728,36
2018;1;20181;DICLAC® GEL, Sandoz  (Switzerland), gel 5 % tube 50 g, #1;6708,81;801787,2;79,84;119,512581217831;DICLAC;;257;;;296,71;0,407367235982207;728,36
2018;1;20181;DOLGIT® CREAM, Naturwaren  (Germany), cream tube 50 g, #1;5223,65;403749,2;63,38;77,292544485178;DOLGIT;;183;;;216,47;0,297201933110001;728,36
2018;1;20181;NIMID®, Kusum Pharm LLC (Ukraine, Kiev), gran. 100 mg/2 g sachet 2 g, #30;4415,25;582489,7;77,21;131,926776513221;NIMID;;0;;;0;0;728,36
2018;1;20181;VOLTAREN FORTE, GSK Consumer Healthcare  (Great Britain), emulgel f/ext. applic. 2,32 % tube 50 g, #1;2571,85;400383,68;53,85;155,679250345082;VOLTAREN;;138;0;0;215,18;0,295430830907793;728,36
2018;1;20181;DEEP RELIEF, Delta Medical LLC (Ukraine, Vishneve), gel tube 100 g;2822,79;486651,82;60,09;172,401000428654;DEEP RELIEF;;6;;;0;0;728,36
2018;1;20181;FLAMIDASE®, Organosyn Life Sciences (India), tabs coated w/film blister, #30;1589,8;250858,22;41,51;157,792313498553;FLAMIDASE;;0;;;0;0;728,36
2018;1;20181;VOLTAREN EMULGEL®, GSK Consumer Healthcare  (Great Britain), emulgel f/ext. applic. 1 % tube 50 g, #1;2334,12;302780,81;62,78;129,719470292873;VOLTAREN;;138;0;0;215,18;0,295430830907793;728,36
2018;1;20181;DOLGIT® CREAM, Naturwaren  (Germany), cream tube 100 g, #1;2879,46;366345,39;47,08;127,227115500823;DOLGIT;;183;;;216,47;0,297201933110001;728,36
